  Node  | Successors
----------------------------------------------------------------------
      0 |	2: 31	7: 10	13: 46	14: 83
      1 |	4: 34	11: 69	12: 99
      2 |	1: 24	9: 78	14: 3
      3 |	2: 4	6: 15
      4 |	0: 83	3: 82	5: 45	14: 83	17: 25
      5 |	0: 24	7: 31	8: 22	9: 60	11: 91	12: 82
      6 |
      7 |	1: 87	4: 13	5: 22	9: 22
      8 |	5: 8	9: 42
      9 |
     10 |
     11 |	4: 63	10: 13	16: 51
     12 |	4: 27	9: 58
     13 |	0: 16	1: 81	2: 72	3: 7
     14 |	7: 10	10: 68	13: 44	17: 16
     15 |	5: 69	12: 51	16: 67
     16 |	9: 26	13: 44
     17 |	4: 9	7: 75	9: 97


Start vertex is: 13
